author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
BenesLeocadioRN,Benes Leocádio,REPUBLICANOS,RN,1,0.55,14815.839740620657,2,47,14.093525261976492,2159,1978,180,1,199789,92.53774895785085,0,0,0,0
deputadobacelar,Bacelar,PV,BA,0,-0.069,77759.14025590551,2,52,13.760897270327353,2032,1529,451,52,307743,151.44832677165354,4,3,0,0
rejaneribeiro.dias,Rejane Dias,PT,PI,0,-0.691,43009.92116538132,2,59,13.627692380582907,1167,974,190,3,361640,309.8886032562125,1,0,0,0
ruycarneiropb,Ruy Carneiro,PSC,PB,1,0.596,98282.55957161981,2,64,13.515956178672683,1494,962,499,33,350299,234.47054886211512,4,1,0,0
deputadomisaelvarella,Misael Varella,PSD,MG,1,0.296,44243.83928571428,2,58,12.896592930608602,1008,845,152,11,206410,204.7718253968254,4,0,0,0
maurobenevidesf,Mauro Benevides Filho,PDT,CE,0,-0.356,62709.7265917603,2,68,12.639155774660079,1602,1126,463,13,187097,116.7896379525593,3,0,0,0
erosbiondini,Eros Biondini,PL,MG,1,0.493,372297.3721259285,2,62,12.480327999884198,2827,1120,1690,17,3343123,1182.5691545808277,3,3,0,0
marcioalvino,Marcio Alvino,PL,SP,0,0.493,133252.74451569354,2,68,12.399711970363853,2963,2791,166,6,812730,274.2929463381708,3,0,0,0
dep.expeditonetto,Expedito Netto,PSD,RO,1,0.296,40812.04207492795,2,65,12.029388880887975,1735,1456,256,23,215107,123.98097982708934,4,0,0,0
cassioandrade40,Cássio Andrade,PSB,PA,0,-0.427,0,2,49,11.979709130243789,909,669,235,5,98433,108.2871287128713,0,0,0,0
depgilcutrim,Gil Cutrim,REPUBLICANOS,MA,0,0.55,15035.265217391305,2,56,11.804620855523694,2070,1622,383,65,87229,42.139613526570045,5,0,0,0
andreferreira.pe,André Ferreira,PL,PE,1,0.493,51801.84312537856,2,65,11.783497441916218,1651,1345,302,4,497759,301.4894003634161,3,2,0,0
mottadoscomerciarios,Motta,PL,SP,0,0.493,99380.89819004525,2,61,11.277754965679884,884,722,145,17,77454,87.61764705882354,8,1,0,0
arthurliradeputadofederal,Deputado Federal Arthur Lira,PP,AL,0,0.51,41159.35302491103,2,60,11.129736661821196,1405,1196,203,6,938021,667.6306049822064,9,0,0,0
vanderleimacris,Deputado Vanderlei Macris,PSDB,SP,0,0.157,133366.7804478427,2,48,11.09731310591825,1831,1347,441,43,773344,422.36155106499183,3,0,0,0
deputadasorayasantos,Soraya Santos,PL,RJ,0,0.493,52869.32093517535,2,61,11.026281769663347,941,617,309,15,57938,61.57066950053135,1,0,0,0
delegadofeliciolaterca,Delegado Felício Laterça,PP,RJ,1,0.51,52531.88356164384,2,47,10.589205709814015,2628,1696,886,46,717839,273.150304414003,12,9,0,0
joseharoldocathedral,Zé Haroldo Cathedral,PSD,RR,1,0.296,3213.5308056872036,2,50,10.471853502279075,365,176,186,3,39482,108.16986301369863,1,0,0,0
RaulHenryPE,Raul Henry,MDB,PE,0,0.137,71903.5560821485,2,46,10.466649862845877,1267,972,200,95,128854,101.70007892659827,10,5,0,0
AfonsoMottaOpina,Afonso Motta,PDT,RS,0,-0.356,52137.317868338556,2,51,10.16957133610235,1595,1288,255,52,318124,199.45078369905957,4,1,0,0
wladimirgarotinhoo,Wladimir Garotinho,PSD,RJ,0,0.296,119894.60694789082,2,48,10.106369013362315,4030,3046,929,55,3095760,768.1786600496278,1,0,0,0
ChristianeYared,Christiane Yared,PP,PR,1,0.51,75250.75118110236,2,42,10.087142694654846,1270,981,205,84,201644,158.7748031496063,1,1,0,0
fernandofilhope,Fernando Filho,DEM,PE,0,0.431,33270.339393939394,2,52,9.973036499495967,1487,1230,255,2,173172,116.45729657027572,3,0,0,0
dep.eliborges,Eli Borges,PL,TO,1,0.493,5650.166939443535,2,47,9.608726554042534,611,415,190,6,26422,43.243862520458265,3,2,0,0
davidbrsoares,David Soares,DEM,SP,1,0.431,157357.26405998928,2,50,9.537152294212577,1867,1604,251,12,924854,495.36904124263526,8,5,0,0
ottoalencaroficial,Otto Alencar,PSD,BA,0,0.296,60732.5081300813,2,32,9.480148383473976,1476,729,740,7,622897,422.0169376693767,3,1,0,0
nishimoriluiz,Luiz Nishimori,PSD,PR,1,0.296,39451.84308510638,2,38,9.008120416804822,752,595,147,10,60055,79.86037234042553,3,0,0,0
boscocostase,Bosco Costa,PL,SE,0,0.493,5728.187448389761,2,46,8.730058617457736,1211,1032,162,17,28165,23.257638315441785,0,0,0,0
